Er66_IT3	0.000010 0.000010 0.999970 0.000010
Er53_ASR7	0.000010 0.999970 0.000010 0.000010
Er43_SL7	0.000010 0.000010 0.999970 0.000010
Er52_451	0.999970 0.000010 0.000010 0.000010
Er46_RMN7	0.000010 0.000010 0.999970 0.000010
Er35_209	0.000010 0.000010 0.999970 0.000010
Er42_GR35	0.000010 0.000010 0.999970 0.000010
Er54_AU1	0.999970 0.000010 0.000010 0.000010
Er72_SIE1B	0.872790 0.000010 0.000010 0.127190
Er41_GR36	0.000010 0.000010 0.999970 0.000010
Er30_79	0.000010 0.000010 0.000010 0.999970
Er26_JUG4	0.000010 0.039533 0.960447 0.000010
Er74_SP16	0.000010 0.000010 0.000010 0.999970
Er40_M2	0.000010 0.000010 0.999970 0.000010
Er27_SK32	0.000010 0.023833 0.976147 0.000010
Er29_122	0.999970 0.000010 0.000010 0.000010
Er32_183	0.000010 0.000015 0.999965 0.000010
Er39_PL1	0.000010 0.000010 0.999970 0.000010
Er45_BLG3	0.000010 0.000010 0.999970 0.000010
Er49_GR38	0.000010 0.999970 0.000010 0.000010
Er51_436	0.999970 0.000010 0.000010 0.000010
Er31_453	0.891213 0.000010 0.000010 0.108767
Er33_211	0.999970 0.000010 0.000010 0.000010
Er50_R3	0.000010 0.000010 0.999970 0.000010
Er63_IR6	0.000010 0.000010 0.000010 0.999970
Er28_112	0.000010 0.000010 0.999970 0.000010
Er34_197	0.999970 0.000010 0.000010 0.000010
Er57_COR4	0.999970 0.000010 0.000010 0.000010
Er56_AZ5	0.000010 0.000010 0.000010 0.999970
Er71_SAR2	0.999970 0.000010 0.000010 0.000010
Er55_AU7	0.030452 0.000010 0.951982 0.017555
Er44_VOJ1	0.000010 0.000010 0.999970 0.000010
Er38_LB1	0.000010 0.999970 0.000010 0.000010
Er47_CR4	0.000010 0.000010 0.999970 0.000010
Er48_BH16	0.000010 0.000010 0.999970 0.000010
Er70_RMN42	0.000010 0.000010 0.999970 0.000010
Er60_GR5	0.000010 0.000012 0.999968 0.000010
Er69_R2	0.000010 0.000010 0.999970 0.000010
Er75_TRC2A	0.000010 0.999970 0.000010 0.000010
Er64_IS1	0.000010 0.999970 0.000010 0.000010
Er37_SK27	0.249312 0.000010 0.750668 0.000010
