Diff	f_hom	f_d	f
-0.22	0	0	1
-0.19	0	0	2
-0.18	1	0	4
-0.17	1	0	4
-0.16	1	0	16
-0.15	7	0	25
-0.14	14	0	32
-0.13	23	0	71
-0.12	46	0	118
-0.11	85	0	197
-0.10	171	2	325
-0.09	314	7	514
-0.08	536	18	820
-0.07	926	91	1194
-0.06	1372	234	1724
-0.05	2176	690	2272
-0.04	2882	1722	2931
-0.03	3739	3549	3586
-0.02	4639	5799	4177
-0.01	5247	8158	4555
0.00	5457	9211	4719
0.01	5245	8259	4599
0.02	4671	6019	4130
0.03	3975	3492	3730
0.04	2963	1777	2966
0.05	2078	661	2397
0.06	1482	236	1721
0.07	901	60	1171
0.08	516	14	801
0.09	286	1	525
0.10	145	0	339
0.11	52	0	167
0.12	28	0	84
0.13	17	0	41
0.14	3	0	29
0.15	1	0	6
0.16	0	0	3
0.17	0	0	4
