-0.54	1
-0.51	1
-0.50	1
-0.49	3
-0.48	1
-0.47	1
-0.46	1
-0.44	2
-0.43	1
-0.42	2
-0.41	2
-0.40	3
-0.39	4
-0.38	6
-0.37	4
-0.36	6
-0.35	5
-0.34	5
-0.33	13
-0.32	12
-0.31	9
-0.30	21
-0.29	10
-0.28	20
-0.27	31
-0.26	23
-0.25	26
-0.24	27
-0.23	38
-0.22	32
-0.21	56
-0.20	55
-0.19	55
-0.18	62
-0.17	64
-0.16	68
-0.15	86
-0.14	88
-0.13	82
-0.12	95
-0.11	97
-0.10	121
-0.09	94
-0.08	122
-0.07	117
-0.06	121
-0.05	128
-0.04	154
-0.03	137
-0.02	138
-0.01	125
0.00	132
0.01	121
0.02	130
0.03	163
0.04	140
0.05	121
0.06	120
0.07	121
0.08	102
0.09	127
0.10	116
0.11	102
0.12	104
0.13	94
0.14	91
0.15	82
0.16	70
0.17	64
0.18	70
0.19	60
0.20	54
0.21	45
0.22	35
0.23	43
0.24	40
0.25	43
0.26	36
0.27	34
0.28	29
0.29	18
0.30	17
0.31	9
0.32	16
0.33	7
0.34	9
0.35	9
0.36	8
0.37	7
0.38	6
0.39	4
0.40	6
0.41	3
0.42	1
0.43	3
0.44	1
0.45	1
0.46	1
0.47	3
0.48	2
0.52	1
0.56	1
0.58	1
0.59	1
