12,14,16,21,36
12,14,17,19,34
12,16,28,37,40
12,17,20,26,37
12,17,34,38,40
12,17,36,38,40
12,20,36,39,40
12,21,26,37,38
14,16,19,20,36
14,16,20,36,38
14,16,21,28,38
14,17,26,37,38
14,34,37,38,40
16,17,26,28,34
16,19,20,21,40
16,19,20,26,36
17,20,26,28,40
17,20,28,34,37
17,21,26,28,37
19,20,34,36,40
19,36,38,39,40
21,28,34,39,40
21,34,36,37,38
3,12,21,34,40
3,14,16,17,21
3,16,17,26,28
3,16,26,28,39
3,17,20,37,39
3,21,26,39,40
3,26,37,38,39
3,5,12,14,16
3,5,16,36,40
3,5,7,26,37
3,5,7,38,40
3,5,9,12,20
3,5,9,21,36
3,7,12,20,34
3,8,16,37,39
3,8,19,26,37
3,9,16,34,39
3,9,16,36,37
3,9,20,21,36
5,12,16,26,37
5,14,17,26,40
5,14,34,36,39
5,14,37,39,40
5,16,17,28,37
5,16,19,28,36
5,17,20,28,38
5,17,34,36,38
5,19,26,37,38
5,7,14,19,38
5,7,34,37,40
5,7,34,38,39
5,7,9,16,34
5,7,9,36,39
5,8,12,16,39
5,8,17,28,38
5,8,26,39,40
5,8,36,37,39
5,9,12,28,37
5,9,16,21,38
5,9,17,21,28
5,9,19,21,26
5,9,21,36,39
5,9,34,37,39
7,12,14,21,36
7,12,17,28,40
7,14,16,17,26
7,14,16,28,34
7,14,17,36,38
7,14,20,21,26
7,16,26,34,38
7,17,21,28,34
7,17,26,36,38
7,17,36,39,40
7,19,26,37,40
7,20,28,34,40
7,26,34,36,38
7,26,36,39,40
7,8,14,20,40
7,9,12,37,40
7,9,19,28,36
7,9,19,38,39
8,12,16,20,21
8,12,16,20,39
8,12,17,20,39
8,12,19,37,38
8,14,16,20,39
8,19,21,36,40
8,9,17,21,40
8,9,37,38,39
9,12,14,34,39
9,14,16,17,40
9,14,20,36,40
9,14,26,37,38
9,17,21,26,36
9,19,20,37,38
9,19,21,37,38
9,26,37,38,40
