#Num.Samples	Num.Sites	Accumulated
44	55	55
43	382	437
42	1504	1941
41	4307	6248
40	8726	14974
39	14698	29672
38	21213	50885
37	27129	78014
36	32308	110322
35	35657	145979
34	37187	183166
33	37269	220435
32	36726	257161
31	34889	292050
30	32954	325004
29	30932	355936
28	28563	384499
27	26591	411090
26	24527	435617
25	22753	458370
24	20705	479075
23	19295	498370
22	17578	515948
21	16064	532012
20	15315	547327
19	13866	561193
18	12818	574011
17	11642	585653
16	11150	596803
15	10777	607580
14	10582	618162
13	9955	628117
12	8813	636930
11	7490	644420
10	6177	650597
9	4680	655277
8	3314	658591
7	2058	660649
6	1065	661714
5	480	662194
4	196	662390
3	78	662468
2	82	662550
1	97	662647
0	8	662655
