#Num.Samples	Num.Sites	Accumulated
47	4	4
46	652	656
45	3926	4582
44	12753	17335
43	25500	42835
42	38699	81534
41	46708	128242
40	49581	177823
39	47735	225558
38	43766	269324
37	38983	308307
36	34180	342487
35	30216	372703
34	26709	399412
33	23682	423094
32	21182	444276
31	18789	463065
30	17046	480111
29	15822	495933
28	14683	510616
27	13630	524246
26	12512	536758
25	11530	548288
24	10583	558871
23	9737	568608
22	9203	577811
21	8424	586235
20	8171	594406
19	7386	601792
18	7049	608841
17	6892	615733
16	6841	622574
15	6205	628779
14	4971	633750
13	2987	636737
12	1465	638202
11	746	638948
10	347	639295
9	223	639518
8	148	639666
7	118	639784
6	62	639846
5	55	639901
4	27	639928
3	16	639944
2	21	639965
1	12	639977
0	4	639981
