#Num.Samples	Num.Sites	Accumulated
44	6	6
43	82	88
42	375	463
41	1231	1694
40	3073	4767
39	6172	10939
38	10067	21006
37	14521	35527
36	18912	54439
35	22482	76921
34	25247	102168
33	26657	128825
32	27284	156109
31	26925	183034
30	26416	209450
29	25942	235392
28	24941	260333
27	23967	284300
26	22865	307165
25	22456	329621
24	21809	351430
23	20949	372379
22	20134	392513
21	19365	411878
20	18674	430552
19	17924	448476
18	17433	465909
17	16708	482617
16	16015	498632
15	15664	514296
14	15639	529935
13	15286	545221
12	15166	560387
11	14221	574608
10	12760	587368
9	11354	598722
8	9933	608655
7	8597	617252
6	7332	624584
5	6156	630740
4	4603	635343
3	2827	638170
2	1295	639465
1	423	639888
0	93	639981
