#Num.Samples	Num.Sites	Accumulated
46	76	76
45	733	809
44	3234	4043
43	9019	13062
42	18171	31233
41	27725	58958
40	35596	94554
39	39986	134540
38	41286	175826
37	40158	215984
36	37394	253378
35	34056	287434
34	31364	318798
33	28095	346893
32	25458	372351
31	23272	395623
30	21194	416817
29	19438	436255
28	18425	454680
27	17219	471899
26	15978	487877
25	15202	503079
24	13663	516742
23	12679	529421
22	12131	541552
21	11086	552638
20	10486	563124
19	9965	573089
18	9268	582357
17	9040	591397
16	9034	600431
15	9060	609491
14	8587	618078
13	7321	625399
12	5476	630875
11	3743	634618
10	2320	636938
9	1376	638314
8	716	639030
7	393	639423
6	226	639649
5	142	639791
4	75	639866
3	50	639916
2	35	639951
1	24	639975
0	6	639981
