scaffold,start,end,mid,sites,l_concolor,l_roumanicus,l_europaeus,S_concolor,S_roumanicus,S_europaeus,thetaPi_concolor,thetaPi_roumanicus,thetaPi_europaeus,thetaW_concolor,thetaW_roumanicus,thetaW_europaeus,TajD_concolor,TajD_roumanicus,TajD_europaeus
NW_006803924.1,750001,1500000,1182241,35,4.0,4.0,4.0,0.0,4.0,1.0,0.0,1.4667,0.2,0.0,1.4139,0.3535,nan,0.1432,-1.1117
NW_006803924.1,1500001,2250000,1842449,40,6.0,6.0,6.0,2.0,0.0,3.0,0.4,0.0,0.7556,0.707,0.0,1.0605,-1.4009,nan,-1.0345
NW_006803924.1,2250001,3000000,2660915,46,7.0,7.0,7.0,3.0,0.0,2.0,0.8667,0.0,0.5556,1.0605,0.0,0.707,-0.6575,nan,-0.691
NW_006803924.1,3000001,3750000,3396689,35,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3556,0.0,0.0,0.3535,0.0,nan,0.015,nan
NW_006803924.1,4500001,5250000,4830462,43,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NW_006803924.1,6000001,6750000,6307042,36,7.0,7.0,7.0,3.0,2.0,1.0,0.6,0.7556,0.2,1.0605,0.707,0.3535,-1.5622,0.2217,-1.1117
NW_006803924.1,6750001,7500000,7163042,42,4.0,4.0,4.0,0.0,1.0,3.0,0.0,0.3556,0.6,0.0,0.3535,1.0605,nan,0.015,-1.5622
NW_006803924.1,8250001,9000000,8579117,35,3.0,3.0,3.0,1.0,1.0,1.0,0.2,0.3556,0.2,0.3535,0.3535,0.3535,-1.1117,0.015,-1.1117
NW_006803924.1,9000001,9750000,9411826,35,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.3535,nan,nan,-1.1117
NW_006803924.1,9750001,10500000,10077759,32,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.4667,0.0,0.0,0.3535,nan,nan,0.8198
NW_006803924.1,10500001,11250000,10956881,36,1.0,1.0,1.0,1.0,0.0,0.0,0.3556,0.0,0.0,0.3535,0.0,0.0,0.015,nan,nan
NW_006803924.1,11250001,12000000,11646734,43,3.0,3.0,3.0,1.0,0.0,1.0,0.3556,0.0,0.2,0.3535,0.0,0.3535,0.015,nan,-1.1117
NW_006803924.1,12000001,12750000,12413459,35,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
NW_006803924.1,12750001,13500000,13139994,36,5.0,5.0,5.0,0.0,1.0,2.0,0.0,0.5333,1.0667,0.0,0.3535,0.707,nan,1.3027,1.6415
NW_006803924.1,13500001,14250000,13864094,38,1.0,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.0,0.3535,0.0,0.0,-1.1117,nan,nan
NW_006803924.1,14250001,15000000,14621806,40,3.0,3.0,3.0,1.0,0.0,1.0,0.4667,0.0,0.2,0.3535,0.0,0.3535,0.8198,nan,-1.1117
NW_006803924.1,15000001,15750000,15431216,40,3.0,3.0,3.0,1.0,2.0,0.0,0.2,0.8889,0.0,0.3535,0.707,0.0,-1.1117,0.8302,nan
NW_006803924.1,15750001,16500000,16136287,39,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NW_006803924.1,16500001,17250000,16910966,39,5.0,5.0,5.0,2.0,1.0,1.0,0.7333,0.4667,0.2,0.707,0.3535,0.3535,0.1203,0.8198,-1.1117
NW_006803925.1,1,750000,396082,30,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NW_006803925.1,2250001,3000000,2605513,35,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NW_006803925.1,3000001,3750000,3357904,38,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
NW_006803925.1,3750001,4500000,4103404,30,3.0,3.0,3.0,2.0,0.0,1.0,1.0667,0.0,0.2,0.707,0.0,0.3535,1.6415,nan,-1.1117
NW_006803925.1,4500001,5250000,4869808,32,4.0,4.0,4.0,1.0,1.0,2.0,0.4667,0.3556,0.7333,0.3535,0.3535,0.707,0.8198,0.015,0.1203
NW_006803925.1,5250001,6000000,5638947,31,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
NW_006803925.1,6750001,7500000,7190218,31,2.0,2.0,2.0,1.0,0.0,1.0,0.2,0.0,0.4667,0.3535,0.0,0.3535,-1.1117,nan,0.8198
NW_006803925.1,7500001,8250000,7930524,39,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
NW_006803925.1,8250001,9000000,8572057,40,4.0,4.0,4.0,2.0,1.0,0.0,0.8889,0.4667,0.0,0.707,0.3535,0.0,0.8302,0.8198,nan
NW_006803925.1,9000001,9750000,9404195,37,4.0,4.0,4.0,2.0,0.0,1.0,0.4,0.0,0.2,0.707,0.0,0.3535,-1.4009,nan,-1.1117
NW_006803925.1,9750001,10500000,10103912,43,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.7556,0.0,0.0,1.0605,nan,nan,-1.0345
NW_006803925.1,10500001,11250000,10877229,39,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.3535,nan,nan,-1.1117
NW_006803925.1,11250001,12000000,11666201,31,5.0,5.0,5.0,1.0,0.0,4.0,0.2,0.0,1.5333,0.3535,0.0,1.4139,-1.1117,nan,0.3242
NW_006803925.1,12000001,12750000,12377211,39,3.0,3.0,3.0,1.0,1.0,1.0,0.2,0.4667,0.2,0.3535,0.3535,0.3535,-1.1117,0.8198,-1.1117
NW_006803925.1,12750001,13500000,13152319,37,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NW_006803925.1,13500001,14250000,13918776,39,3.0,3.0,3.0,2.0,0.0,1.0,1.0667,0.0,0.5556,0.707,0.0,0.3535,1.6415,nan,1.4636
NW_006803925.1,14250001,15000000,14621446,30,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.2,0.2,0.0,0.3535,0.3535,nan,-1.1117,-1.1117
NW_006803925.1,15000001,15750000,15392036,32,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.2,0.4667,0.0,0.3535,0.3535,nan,-1.1117,0.8198
NW_006803926.1,1,750000,347516,40,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.3556,0.0,0.0,0.3535,nan,nan,0.015
NW_006803926.1,1500001,2250000,1917186,36,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.3535,0.0,nan,-1.1117,nan
NW_006803926.1,2250001,3000000,2576652,36,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
NW_006803926.1,3000001,3750000,3262205,31,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
NW_006803926.1,3750001,4500000,4043304,35,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NW_006803926.1,4500001,5250000,4848228,38,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.4667,0.2,0.0,0.3535,0.3535,nan,0.8198,-1.1117
NW_006803926.1,5250001,6000000,5635941,36,5.0,5.0,5.0,2.0,1.0,1.0,0.4,0.2,0.2,0.707,0.3535,0.3535,-1.4009,-1.1117,-1.1117
