scaffold,start,end,mid,sites,l_concolor,l_roumanicus,l_europaeus,S_concolor,S_roumanicus,S_europaeus,thetaPi_concolor,thetaPi_roumanicus,thetaPi_europaeus,thetaW_concolor,thetaW_roumanicus,thetaW_europaeus,TajD_concolor,TajD_roumanicus,TajD_europaeus
NW_006803924.1,750001,1500000,1184458,35,3.0,3.0,3.0,0.0,2.0,1.0,0.0,0.7556,0.3556,0.0,0.707,0.3535,nan,0.2217,0.015
NW_006803924.1,1500001,2250000,1815816,38,1.0,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.0,0.3535,0.0,0.0,-1.1117,nan,nan
NW_006803924.1,2250001,3000000,2664519,48,4.0,4.0,4.0,0.0,1.0,2.0,0.0,0.3556,1.0,0.0,0.3535,0.707,nan,0.015,1.3372
NW_006803924.1,3000001,3750000,3403711,34,4.0,4.0,4.0,0.0,2.0,3.0,0.0,0.6667,1.2444,0.0,0.707,1.0605,nan,-0.1839,0.6242
NW_006803924.1,4500001,5250000,4849574,42,4.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,1.2667,0.0,0.0,1.0605,nan,nan,0.6996
NW_006803924.1,6000001,6750000,6324817,36,4.0,4.0,4.0,2.0,0.0,0.0,0.4,0.0,0.0,0.707,0.0,0.0,-1.4009,nan,nan
NW_006803924.1,6750001,7500000,7149773,41,4.0,4.0,4.0,1.0,0.0,3.0,0.2,0.0,1.0889,0.3535,0.0,1.0605,-1.1117,nan,0.0965
NW_006803924.1,8250001,9000000,8589087,34,7.0,7.0,7.0,2.0,1.0,2.0,0.4,0.2,0.7333,0.707,0.3535,0.707,-1.4009,-1.1117,0.1203
NW_006803924.1,9000001,9750000,9398032,35,4.0,4.0,4.0,1.0,0.0,2.0,0.5333,0.0,0.4,0.3535,0.0,0.707,1.3027,nan,-1.4009
NW_006803924.1,9750001,10500000,10071545,34,4.0,4.0,4.0,1.0,1.0,1.0,0.3556,0.2,0.5556,0.3535,0.3535,0.3535,0.015,-1.1117,1.4636
NW_006803924.1,10500001,11250000,10961438,34,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NW_006803924.1,11250001,12000000,11658874,39,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3556,0.0,0.0,0.3535,0.0,nan,0.015,nan
NW_006803924.1,12000001,12750000,12420700,39,3.0,3.0,3.0,1.0,0.0,1.0,0.5333,0.0,0.2,0.3535,0.0,0.3535,1.3027,nan,-1.1117
