scaffold,start,end,mid,sites,l_concolor,l_roumanicus,l_europaeus,S_concolor,S_roumanicus,S_europaeus,thetaPi_concolor,thetaPi_roumanicus,thetaPi_europaeus,thetaW_concolor,thetaW_roumanicus,thetaW_europaeus,TajD_concolor,TajD_roumanicus,TajD_europaeus
NW_006803924.1,750001,1500000,1172351,32,7.0,7.0,7.0,1.0,3.0,1.0,0.2,1.6444,0.3556,0.3535,1.0605,0.3535,-1.1117,1.9813,0.015
NW_006803924.1,1500001,2250000,1822232,38,8.0,8.0,8.0,2.0,1.0,2.0,0.4,0.4667,1.0889,0.707,0.3535,0.707,-1.4009,0.8198,1.7429
NW_006803924.1,2250001,3000000,2661200,48,14.0,14.0,14.0,4.0,2.0,4.0,1.2222,0.7333,2.0667,1.4139,0.707,1.4139,-0.5206,0.1203,1.7724
NW_006803924.1,3000001,3750000,3394580,34,4.0,4.0,4.0,2.0,1.0,1.0,0.8889,0.5333,0.5333,0.707,0.3535,0.3535,0.8302,1.3027,1.3027
NW_006803924.1,4500001,5250000,4847054,39,3.0,3.0,3.0,1.0,1.0,1.0,0.3556,0.5333,0.3556,0.3535,0.3535,0.3535,0.015,1.3027,0.015
NW_006803924.1,6000001,6750000,6346401,38,8.0,8.0,8.0,2.0,1.0,2.0,0.4,0.5333,0.8889,0.707,0.3535,0.707,-1.4009,1.3027,0.8302
NW_006803924.1,6750001,7500000,7166872,40,13.0,13.0,13.0,4.0,3.0,6.0,0.8,0.6,2.8889,1.4139,1.0605,2.1209,-1.6671,-1.5622,1.498
NW_006803924.1,8250001,9000000,8592370,38,8.0,8.0,8.0,3.0,1.0,3.0,0.7556,0.5333,1.0222,1.0605,0.3535,1.0605,-1.0345,1.3027,-0.1297
NW_006803924.1,9000001,9750000,9413915,36,8.0,8.0,8.0,1.0,2.0,3.0,0.5333,0.4,0.9333,0.3535,0.707,1.0605,1.3027,-1.4009,-0.4313
NW_006803924.1,9750001,10500000,10080083,35,5.0,5.0,5.0,1.0,1.0,1.0,0.3556,0.2,0.5556,0.3535,0.3535,0.3535,0.015,-1.1117,1.4636
NW_006803924.1,10500001,11250000,10986230,33,3.0,3.0,3.0,1.0,0.0,0.0,0.2,0.0,0.0,0.3535,0.0,0.0,-1.1117,nan,nan
NW_006803924.1,11250001,12000000,11669032,38,5.0,5.0,5.0,1.0,1.0,1.0,0.2,0.2,0.3556,0.3535,0.3535,0.3535,-1.1117,-1.1117,0.015
NW_006803924.1,12000001,12750000,12413330,36,4.0,4.0,4.0,2.0,1.0,0.0,0.7333,0.5333,0.0,0.707,0.3535,0.0,0.1203,1.3027,nan
NW_006803924.1,12750001,13500000,13136201,37,9.0,9.0,9.0,1.0,3.0,3.0,0.3556,1.2222,1.3556,0.3535,1.0605,1.0605,0.015,0.5488,1.0012
