Reading input files
Number of loci: 897
Number of admixed populations: 1
Number of individuals: 6
Allowing for uncertainty in allele counts
Allocating memory
Initializing MCMC chain
Initialization complete
mcmc iteration: 0 ........ LnL: -10708.4
mcmc iteration: 1000 ........ LnL: -10151.3
mcmc iteration: 2000 ........ LnL: -10113.3
mcmc iteration: 3000 ........ LnL: -10134.8
mcmc iteration: 4000 ........ LnL: -10099.5
mcmc iteration: 5000 ........ LnL: -10100.5
mcmc iteration: 6000 ........ LnL: -10107.9
mcmc iteration: 7000 ........ LnL: -10116
mcmc iteration: 8000 ........ LnL: -10087.1
mcmc iteration: 9000 ........ LnL: -10117.3
mcmc iteration: 10000 ........ LnL: -10147.5
mcmc iteration: 11000 ........ LnL: -10106.8
mcmc iteration: 12000 ........ LnL: -10172.1
mcmc iteration: 13000 ........ LnL: -10113.8
mcmc iteration: 14000 ........ LnL: -10125.6
mcmc iteration: 15000 ........ LnL: -10119
mcmc iteration: 16000 ........ LnL: -10122.7
mcmc iteration: 17000 ........ LnL: -10129
mcmc iteration: 18000 ........ LnL: -10100.9
mcmc iteration: 19000 ........ LnL: -10200.7
mcmc iteration: 20000 ........ LnL: -10136
mcmc iteration: 21000 ........ LnL: -10151.9
mcmc iteration: 22000 ........ LnL: -10103.2
mcmc iteration: 23000 ........ LnL: -10137.5
mcmc iteration: 24000 ........ LnL: -10120.1
mcmc iteration: 25000 ........ LnL: -10162.9
mcmc iteration: 26000 ........ LnL: -10132.7
mcmc iteration: 27000 ........ LnL: -10113.4
mcmc iteration: 28000 ........ LnL: -10183.6
mcmc iteration: 29000 ........ LnL: -10181.3
mcmc iteration: 30000 ........ LnL: -10138.5
mcmc iteration: 31000 ........ LnL: -10153.2
mcmc iteration: 32000 ........ LnL: -10130.6
mcmc iteration: 33000 ........ LnL: -10134.8
mcmc iteration: 34000 ........ LnL: -10107.6
mcmc iteration: 35000 ........ LnL: -10166.2
mcmc iteration: 36000 ........ LnL: -10147.8
mcmc iteration: 37000 ........ LnL: -10139.9
mcmc iteration: 38000 ........ LnL: -10108.3
mcmc iteration: 39000 ........ LnL: -10137.8
mcmc iteration: 40000 ........ LnL: -10157.2
mcmc iteration: 41000 ........ LnL: -10177.5
mcmc iteration: 42000 ........ LnL: -10105.9
mcmc iteration: 43000 ........ LnL: -10157.6
mcmc iteration: 44000 ........ LnL: -10126.3
mcmc iteration: 45000 ........ LnL: -10170.3
mcmc iteration: 46000 ........ LnL: -10117.5
mcmc iteration: 47000 ........ LnL: -10164.3
mcmc iteration: 48000 ........ LnL: -10116.9
mcmc iteration: 49000 ........ LnL: -10133.8
mcmc iteration: 50000 ........ LnL: -10121.7
mcmc iteration: 51000 ........ LnL: -10101.2
mcmc iteration: 52000 ........ LnL: -10072.1
mcmc iteration: 53000 ........ LnL: -10123.6
mcmc iteration: 54000 ........ LnL: -10144.5
mcmc iteration: 55000 ........ LnL: -10157.8
mcmc iteration: 56000 ........ LnL: -10104.9
