param,mean,median,0.950_CI_LB,0.950_CI_UB
beta_loc_0_pop_0,-0.000317,-0.000257,-0.106935,0.110717
beta_loc_1_pop_0,0.000355,0.000548,-0.104254,0.109927
beta_loc_2_pop_0,0.000585,0.000970,-0.110372,0.111486
beta_loc_3_pop_0,0.000062,0.000486,-0.109218,0.106757
beta_loc_4_pop_0,0.000207,0.000340,-0.109620,0.106719
beta_loc_5_pop_0,0.000555,0.000605,-0.104786,0.110009
beta_loc_6_pop_0,-0.000025,0.000549,-0.108044,0.108048
beta_loc_7_pop_0,-0.000699,-0.000605,-0.108179,0.106839
beta_loc_8_pop_0,0.000223,0.000231,-0.109051,0.109391
beta_loc_9_pop_0,-0.000472,-0.000122,-0.108615,0.106184
beta_loc_10_pop_0,-0.003596,-0.002563,-0.117301,0.102444
beta_loc_11_pop_0,0.000565,0.000193,-0.108103,0.109605
beta_loc_12_pop_0,-0.001826,-0.001734,-0.108808,0.102198
beta_loc_13_pop_0,-0.000636,-0.000335,-0.111717,0.105570
beta_loc_14_pop_0,0.000504,0.000351,-0.109954,0.106292
beta_loc_15_pop_0,-0.001564,-0.000749,-0.113290,0.107816
beta_loc_16_pop_0,-0.000497,-0.000382,-0.109206,0.106166
beta_loc_17_pop_0,0.001096,0.001246,-0.104497,0.107360
beta_loc_18_pop_0,-0.000615,-0.000776,-0.111062,0.105518
beta_loc_19_pop_0,0.000622,0.000372,-0.103726,0.107422
beta_loc_20_pop_0,-0.000698,-0.000521,-0.107985,0.107265
beta_loc_21_pop_0,-0.000378,-0.000359,-0.107884,0.106163
beta_loc_22_pop_0,0.000440,0.000419,-0.107890,0.109424
beta_loc_23_pop_0,0.000835,-0.000024,-0.107029,0.110717
beta_loc_24_pop_0,0.000413,-0.000626,-0.107489,0.105679
beta_loc_25_pop_0,0.000539,0.000337,-0.107367,0.110235
beta_loc_26_pop_0,-0.000166,0.000003,-0.107097,0.107532
beta_loc_27_pop_0,-0.001016,-0.000712,-0.108215,0.104069
beta_loc_28_pop_0,-0.001028,-0.001239,-0.107414,0.109830
beta_loc_29_pop_0,-0.001703,-0.000780,-0.108804,0.104147
beta_loc_30_pop_0,-0.000102,0.000415,-0.107129,0.104680
beta_loc_31_pop_0,-0.001017,-0.000574,-0.112278,0.107894
beta_loc_32_pop_0,-0.000283,-0.000018,-0.108913,0.105125
beta_loc_33_pop_0,-0.002164,-0.001928,-0.110840,0.106220
beta_loc_34_pop_0,-0.012200,-0.007780,-0.133912,0.086530
beta_loc_35_pop_0,0.000136,-0.000276,-0.107310,0.109516
beta_loc_36_pop_0,-0.000400,-0.000273,-0.106629,0.107692
beta_loc_37_pop_0,0.001394,0.000649,-0.102401,0.113377
beta_loc_38_pop_0,-0.000300,0.000488,-0.110835,0.103445
beta_loc_39_pop_0,-0.001053,-0.000649,-0.108457,0.105927
beta_loc_40_pop_0,0.000274,0.000444,-0.106900,0.105583
beta_loc_41_pop_0,-0.000029,0.000196,-0.106687,0.107466
beta_loc_42_pop_0,0.000679,0.001238,-0.108355,0.111084
beta_loc_43_pop_0,0.000438,0.000709,-0.103063,0.109335
beta_loc_44_pop_0,-0.000550,-0.000334,-0.110402,0.105894
beta_loc_45_pop_0,-0.000269,-0.000195,-0.107402,0.107178
beta_loc_46_pop_0,-0.000606,-0.000964,-0.109711,0.107530
beta_loc_47_pop_0,0.000134,0.000246,-0.107673,0.106861
beta_loc_48_pop_0,0.000192,0.000063,-0.108844,0.112612
beta_loc_49_pop_0,-0.000153,0.000795,-0.112039,0.106998
beta_loc_50_pop_0,-0.000169,-0.000106,-0.105332,0.107761
beta_loc_51_pop_0,-0.000833,-0.000607,-0.111208,0.107425
beta_loc_52_pop_0,0.000120,0.000223,-0.106299,0.112426
beta_loc_53_pop_0,-0.000181,-0.000045,-0.105856,0.108138
beta_loc_54_pop_0,-0.000218,-0.000020,-0.105861,0.107767
beta_loc_55_pop_0,-0.000786,-0.000685,-0.113057,0.108489
beta_loc_56_pop_0,-0.000611,-0.000152,-0.109744,0.107811
beta_loc_57_pop_0,0.001670,0.001249,-0.102817,0.112420
beta_loc_58_pop_0,-0.000838,-0.000126,-0.110464,0.107018
beta_loc_59_pop_0,0.000616,-0.000364,-0.104978,0.105637
beta_loc_60_pop_0,-0.001331,-0.001416,-0.108028,0.106236
beta_loc_61_pop_0,0.000028,-0.000117,-0.114638,0.110597
beta_loc_62_pop_0,-0.000916,-0.000324,-0.109063,0.102905
beta_loc_63_pop_0,0.000143,0.000018,-0.107788,0.110280
beta_loc_64_pop_0,0.000200,0.000482,-0.107895,0.113438
beta_loc_65_pop_0,0.000417,0.000517,-0.108597,0.102554
beta_loc_66_pop_0,0.000337,0.000139,-0.109614,0.111525
